Dag,Dato,Hva økt 1,Tid,Kommentar/Viktig ved gjennomføring økt,Total timer
torsdag,1.mai,Sykkel,01:30,,
fredag,2.mai,Konkurranseforberedende klassisk,01:15,"Oppvarming: 25min, deretter 4-5 stigningsdrag m/pause 2-4min mellom. Siste 10-15min rolig",
lørdag,3.mai,Råskinnet/Råtassen,01:30,,
søndag,4.mai,MOT skiskyttersamling,03:00,,7t
,,,,,
mandag,5.mai,Styrke m/Asker Sk,01:30,,
tirsdag,6.mai,Rolig løp,01:30,,
onsdag,7.mai,Skate,01:30,Viktig å holde rolig tempo dagene før du har intervall,
torsdag,8.mai,Intervall 5x6min i3/terskel løp,01:30,"Målet vårt er løpe jevne runder, så prøv å finn et tempo du kan holde på alle drag. Unngå å sprekke",
fredag,9.mai,Hvile,00:00,,
lørdag,10.mai,Forflyttningssamling dag 1,,Viktig at man holder sitt eget tempo (i1) da det er en lang dag og mye trening,
søndag,11.mai,Forflyttningssamling dag 2,,Viktig at man holder sitt eget tempo (i1) da det er en lang dag og mye trening,13t
,,,,,
mandag,12.mai,Styrke m/Asker Sk,01:30,,
tirsdag,13.mai,Hurtighet klassisk,01:30,,
onsdag,14.mai,Skiskyting,01:30,,
torsdag,15.mai,Intervall 5/6x4min i4 skate,01:30,"Prøve å ha litt progresjon i dragene, men skal ikke være full gass på slutten likevel",
fredag,16.mai,Klassisk,01:30,,
lørdag,17.mai,Hvile,00:00,,
søndag,18.mai,Intervall 5x7min i3 løp: søndagsgruppa,01:30,"Her skal man ha kontroll hele veien, altså ikke bygge opp noe syre i bena",9t
,,,,,
mandag,19.mai,Styrke m/Asker Sk,01:30,,
tirsdag,20.mai,Teknikk skate,01:30,"Blir litt teori og øvelser man kan gjøre på egenhånd, sikkert litt ""kjeldelig"" økt, men lurt å følge godt med",
onsdag,21.mai,Skiskyting,01:30,,
torsdag,22.mai,Motbakkeløp,01:45,Lurt å holde et lite knepp igjen første 8min og deretter skru opp mot maks,
fredag,23.mai,Hvile,00:00,,
lørdag,24.mai,Distanseøkt 5km skate,01:30,Vi går én full runde i rulleskiløypa i Kollen. Her kan man hente mye ved å få med farten over bakketoppene,
søndag,25.mai,Sprintøkt klassisk,02:00,"Prolog + kvartfinaler, semifinaler og finaler med opprykk og nedrykk. Blir dermed fire drag/runder totalt","9,75t"
,,,,,
mandag,26.mai,Styrke m/Asker Sk,01:30,,
tirsdag,27.mai,Felthurtighet skate,01:30,,
onsdag,28.mai,Skiskyting,01:30,,
torsdag,29.mai,Intervall 5x6min i3 løp,01:30,Kontrollert. Ikke noe syre mot slutten. Se gjerne litt ekstra på klokken for å holde deg i sone 3 hele veien,
fredag,30.mai,Hvile,00:00,,
lørdag,31.mai,Klassisk,01:30,Gjerne gå noen minutter uten staver. Eks 2 perioder på 5min hvor du tar av stavene.,
søndag,1.juni,Langtur: søndagsgruppa,02:15,"Viktig å huske at de rolige turene MÅ gå rolig, spessielt når de er lange. Sone 1/i1 er tingen :-)","9,75t"
,,,,,
mandag,2.juni,Styrke m/Asker Sk,01:30,,
tirsdag,3.juni,Intervall 4/5x5min i4 klassisk,01:30,Se an om du ønsker 4 eller 5 drag. Tenker i utgangspunktet at 4 holder. ,
onsdag,4.juni,Skiskyting,01:30,Hvile?,
torsdag,5.juni,Teknikk klassisk,01:30,"Blir litt teori og øvelser man kan gjøre på egenhånd, sikkert litt ""kjeldelig"" økt, men lurt å følge godt med",
fredag,6.juni,Hurtighet klassisk,01:30,,
lørdag,7.juni,"Intervall 5/6x6min i3 skate + lek, stafetter og styrke",03:00,,
søndag,8.juni,Langtur løp + rolig skate,04:25,,"13,5t"
,,,,,
mandag,9.juni,Langtur klassisk,02:30,,
tirsdag,10.juni,Hvile,00:00,,
onsdag,11.juni,TG2 - Skate,01:30,,
torsdag,12.juni,Sykkel,01:30,,
fredag,13.juni,Konkurranseforberedende økt løp eller klassisk,01:00,,
lørdag,14.juni,Ungdomsbirken løp,01:30,"Kan vurdere 3x2min i4, for å vekke kroppen litt ekstra",
søndag,15.juni,Langtur skate,02:00,,"6,75t"
,,,,,
mandag,16.juni,Styrke,00:45,,
tirsdag,17.juni,Hurtighet løp,01:30,,
onsdag,18.juni,Skiskyting 3000m,01:30,,
torsdag,19.juni,Intervall 3x6min + 3x4min i3 + i4 løp,01:30,"Bare å bli med oss på intervall, men kanskje vurdere å ikke kjøre i4 på siste 3 dragene. Holde alt i i3?",
fredag,20.juni,Hvile,00:00,,
lørdag,21.juni,Skate,01:45,,
søndag,22.juni,Intervall 5/6x6min i3/terskel klassisk,01:30,"Ha kontroll hele veien, er kroppen bra og du treffer godt med åpningsfarten kan man vurdere et drag nr 6",8t
,,,,,
mandag,23.juni,Langtur sykkel,02:30,Holde pulsen lav/i1 på rolige turer og langturer,
tirsdag,24.juni,Klassisk,01:15,"Dagene før intervall skal helst være korte, for å sikre kvalitet på hardøktene. Ikke økt lengden noe serlig.",
onsdag,25.juni,Intervall skate 4/5x5min i4,01:15,"Skal kunne gå relativt fort, men hold igjen på det aller siste giret. Viktig å klare disponering på i4-intervaller også",
torsdag,26.juni,Styrke,01:15,,
fredag,27.juni,Hurtighet skate,01:30,3 serier av 3 drag (9stk totalt). Prøv å varier terreng/stilart for hver serie.,
lørdag,28.juni,Intervall klassisk 5x7min i3/terskel,01:30,,
søndag,29.juni,Styrke,01:15,,"10,5t"
,,,,,
mandag,30.juni,Hvile,00:00,,
tirsdag,1.juli,Hvile,00:00,,
onsdag,2.juli,Treningssamling skiskyting: Rolig komb,1:30,,
torsdag,3.juli,Treningssamling skiskyting: Rolig langtur skate,2:00,,
fredag,4.juli,Treningssamling skiskyting: Hardøkt skate+jogg+styrke/spenst,1:30+1:30,,
lørdag,5.juli,Treningssamling skiskyting: Langtur+rolig komb skate+hurtighet,2:00,,
søndag,6.juli,Treningssamling skiskyting: Intervall løping,1:00,,"9,5t"
,,,,,
mandag,7.juli,Klassisk,00:45,,
tirsdag,8.juli,Hurtighet skate,01:30,,
onsdag,9.juli,Intervall 6-7-8-7-6min klassisk i3/terskel,01:30,"Lange drag, så viktig å ha kontroll hele veien. Gjerne gi en tilbakemeldig i etterkant om 7 og 8min blir for lenge",
torsdag,10.juli,Hvile,00:00,,
fredag,11.juli,Langtur sykkel eller klassisk,03:00,Om du velger klassisk: gjerne gå to perioder på 5min ila økten uten staver for å terpe teknikk,
lørdag,12.juli,Løp,01:45,"Holde pulsen lav, kort ned på økten om det trengs for å gjennomføre en god intervall i morgen",
søndag,13.juli,Intervall 5x6min skate i3/terskel,01:30,,10t
,,,,,
mandag,14.juli,Styrke,01:15,,
