Dag,Dato,Hva økt 1,Tid,Hva økt 2,Tid,Kommentar/Viktig ved gjennomføring økt,Total timer
torsdag,1.mai,Klassisk,02:00,,,Gjerne gå noen minutter uten staver. Eks 2 perioder på 5min hvor du tar av stavene.,
fredag,2.mai,Hvile,00:00,,,,
lørdag,3.mai,Intervall 5-5-4-4-3-3min i4 klassisk,01:30,Styrke,01:15,Hvis du ønsker kan du ta å øke tempo mot slutten og nærme deg i5,
søndag,4.mai,Langtur sykkel: søndagsgruppa,02:15,,,,7t
,,,,,,,
mandag,5.mai,Hurtighet skate,01:15,,,,
tirsdag,6.mai,Rolig løp,01:30,,,Viktig å holde rolig tempo dagene før intervall,
onsdag,7.mai,Intervall 5x6min i3/terskel løp,01:30,,,"Målet vårt er løpe jevne runder, så prøv å finn et tempo du kan holde på alle drag. Unngå å sprekke",
torsdag,8.mai,Styrke,01:15,,,Konfirmasjonsundervisning,
fredag,9.mai,Hvile,00:00,,,,
lørdag,10.mai,Forflyttningssamling dag 1,,,,Viktig at man holder sitt eget tempo (i1) da det er en lang dag og mye trening,
søndag,11.mai,Forflyttningssamling dag 2,,,,Viktig at man holder sitt eget tempo (i1) da det er en lang dag og mye trening,"14,5t"
,,,,,,,
mandag,12.mai,Løp,01:15,,,,
tirsdag,13.mai,Hurtighet klassisk,01:30,,,,
onsdag,14.mai,Intervall 5/6x4min i4 skate,01:30,,,"Prøve å ha litt progresjon i dragene, men skal ikke være full gass på slutten likevel",
torsdag,15.mai,Styrke,01:15,,,Konfirmasjonsundervisning,
fredag,16.mai,Skate,01:30,,,,
lørdag,17.mai,Hvile,00:00,,,,
søndag,18.mai,Intervall 5x7min i3 løp: søndagsgruppa,01:30,Styrke,01:15,"Her skal man ha kontroll hele veien, altså ikke bygge opp noe syre i bena","9,75t"
,,,,,,,
mandag,19.mai,Sykkel,01:15,,,,
tirsdag,20.mai,Teknikk skate,01:30,,,"Blir litt teori og øvelser man kan gjøre på egenhånd, sikkert litt ""kjeldelig"" økt, men lurt å følge godt med",
onsdag,21.mai,Konkurranseforberedende klassisk,01:15,,,,
torsdag,22.mai,Motbakkeløp,01:45,,,Lurt å holde et lite knepp igjen første 8min og deretter skru opp mot maks,
fredag,23.mai,Hvile,00:00,,,,
lørdag,24.mai,Distanseøkt 5km skate,01:30,,,Vi går én full runde i rulleskiløypa i Kollen. Her kan man hente mye ved å få med farten over bakketoppene,
søndag,25.mai,Sprintøkt klassisk,02:00,,,"Prolog + kvartfinaler, semifinaler og finaler med opprykk og nedrykk. Blir dermed fire drag/runder totalt","9,25t"
,,,,,,,
mandag,26.mai,Løp,00:45,,,,
tirsdag,27.mai,Felthurtighet skate,01:30,,,,
onsdag,28.mai,Intervall 6-7-8-7-6min i3/terskel løp,01:30,,,Kontrollert. Ikke noe syre mot slutten. Se gjerne litt ekstra på klokken for å holde deg i sone 3 hele veien,
torsdag,29.mai,Klassisk,02:00,,,,
fredag,30.mai,Hvile,00:00,,,,
lørdag,31.mai,Intervall 3-4-5-4-3min i4 skate,01:15,Styrke,01:15,"Holde igjen siste giret, selv på 3- og 4-minutterne. Lov å få litt syre, men skal ikke være helt kjørt på slutten",
søndag,1.juni,Langtur: søndagsgruppa,02:15,,,"Viktig å huske at de rolige turene MÅ gå rolig, spessielt når de er lange. Sone 1/i1 er tingen :-)","10,25t"
,,,,,,,
mandag,2.juni,Sykkel,01:15,,,Viktig å holde rolig tempo dagene før intervall,
tirsdag,3.juni,Intervall 4/5x5min i4 klassisk,01:30,,,"Se an om du ønsker 4 eller 5 drag. Fortsatt tidlig i sesongen, så kan fint vente med 5.",
onsdag,4.juni,Styrke,01:15,,,,
torsdag,5.juni,Hvile,00:00,,,Konfirmasjonsopplegg,
fredag,6.juni,Hurtighet klassisk,01:30,,,,
lørdag,7.juni,Intervall 5/6x6min i3/terskel skate,01:30,"Lek, stafetter og styrke",01:30,,
søndag,8.juni,Langtur løp,03:00,Rolig skate,01:15,,"11,5t"
,,,,,,,
mandag,9.juni,Langtur klassisk,02:30,,,,
tirsdag,10.juni,,,,,,
onsdag,11.juni,Hvile,00:00,TG2 - Skate,01:30,Kan evt bytte intervall og hvile hvis du har konfirmasjonsundervisning,
torsdag,12.juni,Intervall 5x7min i3/terskel skate,01:30,,,"Nok en intervall vi skal ha hvor kontroll er fokus, skal kunne gå samme tempo på alle drag eller progressivt",
fredag,13.juni,Klassisk,01:15,,,,
lørdag,14.juni,Skate,01:45,,,Gjerne gå noen minutter uten staver. Eks 2 perioder på 5min hvor du tar av stavene.,
søndag,15.juni,Intervall 5x4min i4 løp: søndagsgruppa,01:15,Styrke,01:15,"Lov å ta i litt ekstra i dag, men skal ikke ligge i grøfta etter siste draget likevel","9,75t"
,,,,,,,
mandag,16.juni,Hvile,00:00,,,,
tirsdag,17.juni,Hurtighet løp,01:30,,,,
onsdag,18.juni,Klassisk,01:15,,,,
torsdag,19.juni,Intervall 3x6min + 3x4min i3 + i4 løp,01:30,,,Kontrollert første 3 dragene og skru opp farten mer på siste 3,
fredag,20.juni,Hvile,00:00,,,,
lørdag,21.juni,Skate,01:45,,,,
søndag,22.juni,Intervall 5/6x6min i3/terskel klassisk,01:30,Styrke,01:15,"Ha kontroll hele veien, er kroppen bra og du treffer godt med åpningsfarten kan man vurdere et drag nr 6","8,75t"
,,,,,,,
mandag,23.juni,Langtur sykkel,02:30,,,Holde pulsen lav/i1 på rolige turer og langturer,
tirsdag,24.juni,Klassisk,01:15,,,"Dagene før intervall skal helst være korte, for å sikre kvalitet på hardøktene. Ikke økt lengden noe serlig.",
onsdag,25.juni,Intervall skate 4/5x5min i4,01:15,Styrke,01:15,"Skal kunne gå relativt fort, men hold igjen på det aller siste giret. Viktig å klare disponering på i4-intervaller også",
torsdag,26.juni,Langtur løp,03:00,,,"Gjerne løp mest i terrenget, for å ha det mest mulig skånsomt for bena",
fredag,27.juni,Hurtighet skate,01:30,,,3 serier av 3 drag (9stk totalt). Prøv å varier terreng/stilart for hver serie.,
lørdag,28.juni,Intervall klassisk 5x7min i3/terskel,01:30,Styrke,01:15,,
søndag,29.juni,Hvile,00:00,,,,"13,5t"
,,,,,,,
mandag,30.juni,Konfirmasjonssamling,,,,,
tirsdag,1.juli,,,,,,
onsdag,2.juli,,,,,,
torsdag,3.juli,,,,,,
fredag,4.juli,,,,,,
lørdag,5.juli,Skate,02:00,,,,
søndag,6.juli,Løp,01:30,,,,
,,,,,,,
mandag,7.juli,Intervall klassisk 5x4min i4,01:15,Styrke,01:15,"Tre intervaller denne uken, så viktig at man er god på å styre intensiteten riktig på alle de tre øktene",
tirsdag,8.juli,Langtur klassisk,02:30,,,Gjerne gå to perioder på 5min uten staver i løpet av økta,
onsdag,9.juli,Skate,01:30,,,,
torsdag,10.juli,Intervall løp 5x6min i3/terskel,01:30,,,,
fredag,11.juli,Hvile,00:00,,,,
lørdag,12.juli,Hurtighet klassisk,01:15,,,,
søndag,13.juli,Intervall skate 4/5x5min i4,01:15,Styrke,01:15,"Klink i4, ikke noe over. Du skal få muligheten til å gå litt hardere kommende onsdag","11,75t"
,,,,,,,
mandag,14.juli,Langtur sykkel,02:30,,,,
tirsdag,15.juli,Skate,01:15,,,,
onsdag,16.juli,Intervall løp 5-5-4-4-3-3min i4,01:15,Styrke,01:15,,
torsdag,17.juli,Styrke,01:00,,,,
fredag,18.juli,Løp,00:45,,,,
lørdag,19.juli,Klassisk,01:00,,,,
søndag,20.juli,Skate,01:15,,,,"13,5t"
,,,,,,,
mandag,21.juli,Langtur løp,02:00,,,Se an kroppen etter oppstarten fra sykdom. Ikke noe problem å korte litt ned på denne,
