Dag,Dato,Hva økt 1,Tid,Hva økt 2,Tid,Kommentar/Viktig ved gjennomføring økt,Total timer
torsdag,1.mai,Sykkel,02:00,,,,
fredag,2.mai,Konkurranseforberedende klassisk,01:15,,,"Oppvarming: 25min, deretter 4-5 stigningsdrag m/pause 2-4min mellom. Siste 10-15min rolig",
lørdag,3.mai,Råskinnet/Råtassen,01:30,,,,
søndag,4.mai,Skate,01:15,,,Gjerne gå noen minutter uten staver. Eks 2 perioder på 5min hvor du tar av stavene.,6t
,,,,,,,
mandag,5.mai,Intervall 5-6-7-6-5min i3/terskel klassisk,01:15,,,"Gjerne hold samme puls/tempo på alle drag, selv om dragtidene varierer",
tirsdag,6.mai,Rolig løp,01:30,,,,
onsdag,7.mai,Hvile,00:00,,,,
torsdag,8.mai,Intervall 5x6min i3/terskel løp,01:30,,,"Målet vårt er løpe jevne runder, så prøv å finn et tempo du kan holde på alle drag. Unngå å sprekke",
fredag,9.mai,Styrke,01:15,,,,
lørdag,10.mai,Forflyttningssamling dag 1,,,,Viktig at man holder sitt eget tempo (i1) da det er en lang dag og mye trening,
søndag,11.mai,Forflyttningssamling dag 2,,,,Viktig at man holder sitt eget tempo (i1) da det er en lang dag og mye trening,"14,5t"
,,,,,,,
mandag,12.mai,Styrke,01:15,,,Kan vurdere å legge inn en hvile,
tirsdag,13.mai,Hurtighet klassisk,01:30,,,,
onsdag,14.mai,Løp,01:15,,,Viktig at dagene før intervall går ekstra rolig,
torsdag,15.mai,Intervall 5/6x4min i4 skate,01:30,,,"Prøve å ha litt progresjon i dragene, men skal ikke være full gass på slutten likevel",
fredag,16.mai,Skierg,00:45,,,,
lørdag,17.mai,Hvile,00:00,,,,
søndag,18.mai,Intervall 5x7min i3 løp: søndagsgruppa,01:30,Styrke,01:15,"Her skal man ha kontroll hele veien, altså ikke bygge opp noe syre i bena",9t
,,,,,,,
mandag,19.mai,Sykkel,01:45,,,,
tirsdag,20.mai,Teknikk skate,01:30,,,"Blir litt teori og øvelser man kan gjøre på egenhånd, sikkert litt ""kjeldelig"" økt, men lurt å følge godt med",
onsdag,21.mai,Konkurranseforberedende klassisk,01:00,,,"Oppvarming: 25min, deretter 4-5 stigningsdrag m/pause 2-4min mellom. Siste 10-15min rolig",
torsdag,22.mai,Motbakkeløp,01:45,,,Lurt å holde et lite knepp igjen første 8min og deretter skru opp mot maks,
fredag,23.mai,Hvile,00:00,,,,
lørdag,24.mai,Distanseøkt 5km skate,01:30,,,Vi går én full runde i rulleskiløypa i Kollen. Her kan man hente mye ved å få med farten over bakketoppene,
søndag,25.mai,Sprintøkt klassisk,02:00,,,"Prolog + kvartfinaler, semifinaler og finaler med opprykk og nedrykk. Blir dermed fire drag/runder totalt","9,5t"
,,,,,,,
mandag,26.mai,Hvile,00:00,,,,
tirsdag,27.mai,Felthurtighet skate,01:30,,,,
onsdag,28.mai,Intervall 5x6min i3/terskel løp,01:30,,,Kontrollert. Ikke noe syre mot slutten. Se gjerne litt ekstra på klokken for å holde deg i sone 3 hele veien,
torsdag,29.mai,Skate 1t + 30min styrke overkropp,01:30,,,,
fredag,30.mai,Klassisk,01:15,,,Gjerne gå noen minutter uten staver. Eks 2 perioder på 5min hvor du tar av stavene.,
lørdag,31.mai,Intervall 3-4-5-4-3min i4 skate,01:15,Styrke,01:15,"Holde igjen siste giret, selv på 3- og 4-minutterne. Lov å få litt syre, men skal ikke være helt kjørt på slutten",
søndag,1.juni,Langtur: søndagsgruppa,02:15,,,"Viktig å huske at de rolige turene MÅ gå rolig, spessielt når de er lange. Sone 1/i1 er tingen :-)","10,5t"
,,,,,,,
mandag,2.juni,Hvile,00:00,,,,
tirsdag,3.juni,Intervall 4/5x5min i4 klassisk,01:30,,,Se an om du ønsker 4 eller 5 drag. Tenker i utgangspunktet at 4 holder. ,
onsdag,4.juni,Styrke,01:15,,,,
torsdag,5.juni,Teknikk klassisk,01:30,,,"Blir litt teori og øvelser man kan gjøre på egenhånd, sikkert litt ""kjeldelig"" økt, men lurt å følge godt med",
fredag,6.juni,Hurtighet klassisk,01:30,,,,
lørdag,7.juni,Intervall 5/6x6min i3/terskel skate,01:30,"Lek, stafetter og styrke",01:30,,
søndag,8.juni,Langtur løp,03:00,Rolig skate,01:15,,"11,75t"
,,,,,,,
mandag,9.juni,Langtur klassisk,02:30,,,,
tirsdag,10.juni,Hvile,00:00,,,,
onsdag,11.juni,Skate,00:45,,,,
torsdag,12.juni,Sykkel,01:30,,,,
fredag,13.juni,Konkurranseforberedende økt løp eller klassisk,01:00,,,"Kan vurdere 3x2min i4, for å vekke kroppen litt ekstra",
lørdag,14.juni,Ungdomsbirken løp,01:30,,,,
søndag,15.juni,Langtur skate,02:00,Styrke,01:15,,11t
,,,,,,,
mandag,16.juni,TG3 - skate,01:30,,,,
tirsdag,17.juni,Hurtighet løp,01:30,,,,
onsdag,18.juni,Klassisk,01:15,,,,
torsdag,19.juni,Intervall 3x6min + 3x4min i3 + i4 løp,01:30,,,Kontrollert første 3 dragene og skru opp farten mer på siste 3,
fredag,20.juni,Hvile,00:00,,,,
lørdag,21.juni,Skate,01:45,,,,
søndag,22.juni,Intervall 5/6x6min i3/terskel klassisk,01:30,Styrke,01:15,"Ha kontroll hele veien, er kroppen bra og du treffer godt med åpningsfarten kan man vurdere et drag nr 6","8,75t"
,,,,,,,
mandag,23.juni,Langtur sykkel,02:30,,,Holde pulsen lav/i1 på rolige turer og langturer,
tirsdag,24.juni,Klassisk,01:15,,,"Dagene før intervall skal helst være korte, for å sikre kvalitet på hardøktene. Ikke økt lengden noe serlig.",
onsdag,25.juni,Intervall skate 4/5x5min i4,01:15,Styrke,01:15,"Skal kunne gå relativt fort, men hold igjen på det aller siste giret. Viktig å klare disponering på i4-intervaller også",
torsdag,26.juni,Langtur løp,03:00,,,"Gjerne løp mest i terrenget, for å ha det mest mulig skånsomt for bena",
fredag,27.juni,Hurtighet skate,01:30,,,3 serier av 3 drag (9stk totalt). Prøv å varier terreng/stilart for hver serie.,
lørdag,28.juni,Intervall klassisk 5x7min i3/terskel,01:30,Styrke,01:15,,
søndag,29.juni,Hvile,00:00,,,,"13,5t"
,,,,,,,
mandag,30.juni,Sykkel,01:30,,,,
