Dag,Dato,Hva økt 1,Tid,Hva økt 2,Tid,Kommentar/Viktig ved gjennomføring økt,Total timer
torsdag,1.mai,Langtur landeveissykkel,02:00-02:30,,,,,
fredag,2.mai,Hvile,00:00,,,,,
lørdag,3.mai,Råskinnet/Råtassen,01:30,,,,,
søndag,4.mai,Langtur sykkel: søndagsgruppa,02:15,,,,"6,25t",
,,,,,,,,
mandag,5.mai,Styrke m/Asker Sk,01:30,,,,,
tirsdag,6.mai,Rolig løp,01:30,,,,,
onsdag,7.mai,Skate,01:30,,,Viktig å holde rolig tempo dagene før intervall. Hva kan jeg gjøre da?,, 
torsdag,8.mai,Intervall 5x6min i3/terskel løp,01:30,,,"Målet vårt er løpe jevne runder, så prøv å finn et tempo du kan holde på alle drag. Unngå å sprekke",,
fredag,9.mai,Hvile,00:00,,,,,
lørdag,10.mai,"Forflyttningssamling dag 1, med på første del",,,,"konfirmasjon, men rekker litt av forflytningssamlingen.",,
søndag,11.mai,Forflyttningssamling dag 2,,,,Viktig at man holder sitt eget tempo (i1) da det er en lang dag og mye trening,15t,
,,,,,,,,
mandag,12.mai,Styrke m/Asker Sk,01:30,,,,,
tirsdag,13.mai,Hvile,00:00,,,trinn tur,,
onsdag,14.mai,Hvile,00:00,,,trinn tur,,
torsdag,15.mai,Intervall 5/6x4min i4 skate,01:30,,,"Prøve å ha litt progresjon i dragene, men skal ikke være full gass på slutten likevel",,
fredag,16.mai,Klassisk,01:30,,,,,
lørdag,17.mai,Langtur landeveissykkel,02:00,,,Trene eller hvile på 17.mai? Trrene,,
søndag,18.mai,Intervall 5x7min i3 løp: søndagsgruppa,01:30,Styrke ,01:15,Kan legge inn styrke på kvelden/dobbeløkt og gjøre noe annet mandag,8t,
,,,,,,,,
mandag,19.mai,Teknikk klassisk,01:30,,,Legg inn to perioder på 5min hvor du går uten staver,,
tirsdag,20.mai,Teknikk skate,01:30,,,"Blir litt teori og øvelser man kan gjøre på egenhånd, sikkert litt ""kjeldelig"" økt, men lurt å følge godt med",,
onsdag,21.mai,Konkurranseforberedende klassisk,01:00,,,"Oppvarming: 25min, deretter 4-5 stigningsdrag m/pause 2-4min mellom. Siste 10-15min rolig",,
torsdag,22.mai,Motbakkeløp,01:45,,,Lurt å holde et lite knepp igjen første 8min og deretter skru opp mot maks,,
fredag,23.mai,Hvile,00:00,,,,,
lørdag,24.mai,Distanseøkt 5km skate,01:30,,,Vi går én full runde i rulleskiløypa i Kollen. Her kan man hente mye ved å få med farten over bakketoppene,,
søndag,25.mai,Sprintøkt klassisk,02:00,,,"Prolog + kvartfinaler, semifinaler og finaler med opprykk og nedrykk. Blir dermed fire drag/runder totalt","9,25t",
,,,,,,,,
mandag,26.mai,Styrke m/Asker Sk,01:30,,,Kan vurdere om du ønsker å kjøre den alene eller med Asker,,
tirsdag,27.mai,Felthurtighet skate,01:30,,,,,
onsdag,28.mai,Intervall 5x6min i3/terskel løp,01:30,,,Kontrollert. Ikke noe syre mot slutten. Se gjerne litt ekstra på klokken for å holde deg i sone 3 hele veien. Klokken funker ikke men kan bruke belte,,
torsdag,29.mai,Skate 1t + 30min styrke overkropp,01:30,,,,,
fredag,30.mai,Hvile,00:00,,,,,
lørdag,31.mai,Intervall 3-4-5-4-3min i4 løp,01:00,,,Konfirmasjon. Kort og effektiv intervall. Varm opp i 20-25min - løp dragene - kan droppe nedjogg hvis dårlig tid,,
søndag,1.juni,Langtur: søndagsgruppa,02:15,,,"Viktig å huske at de rolige turene MÅ gå rolig, spessielt når de er lange. Sone 1/i1 er tingen :-)","8,5t",
,,,,,,,,
mandag,2.juni,Styrke m/Asker Sk,01:30,,,Kan vurdere om du ønsker å kjøre den alene eller med Asker,,
tirsdag,3.juni,Intervall 4/5x5min i4 klassisk,01:30,,,Se an om du ønsker 4 eller 5 drag. Tenker i utgangspunktet at 4 holder. ,,
onsdag,4.juni,Hvile,00:00,,,,,
torsdag,5.juni,Teknikk klassisk,01:30,,,"Blir litt teori og øvelser man kan gjøre på egenhånd, sikkert litt ""kjeldelig"" økt, men lurt å følge godt med",,
fredag,6.juni,Hurtighet klassisk,01:30,,,,,
lørdag,7.juni,Intervall 5/6x6min i3/terskel skate,01:30,"Lek, stafetter og styrke",01:30,,,
søndag,8.juni,Langtur løp,03:00,Rolig skate,01:15,,12t,
,,,,,,,,
mandag,9.juni,Langtur klassisk,02:30,,,Gjerne gå noen minutter uten staver. Eks 2 perioder på 5min hvor du tar av stavene.,,
tirsdag,10.juni,Hvile,00:00,,,,,
onsdag,11.juni,TG1 - Skate,01:30,,,,,
torsdag,12.juni,Sykkel,01:30,,,,,
fredag,13.juni,Konkurranseforberedende økt løp eller klassisk,01:00,,,,,
lørdag,14.juni,Ungdomsbirken løp,01:30,,,,,
søndag,15.juni,Langtur landeveissykkel eller rulleski skate,02:00,Styrke,01:15,,"7,25t",
,,,,,,,,
mandag,16.juni,Hvile,00:00,,,,
tirsdag,17.juni,Hurtighet løp,01:30,,,,
onsdag,18.juni,Rolig roing + yoga/tøying,01:15,,,,
torsdag,19.juni,Intervall 3x6min + 3x4min i3 + i4 løp,01:30,,,Kontrollert første 3 dragene og skru opp farten mer på siste 3,
fredag,20.juni,Styrke,01:15,,,,
lørdag,21.juni,Rolig skate,01:45,,,,
søndag,22.juni,Intervall 5/6x6min i3/terskel klassisk,01:30,,,"Ha kontroll hele veien, er kroppen bra og du treffer godt med åpningsfarten kan man vurdere et drag nr 6","8,75t"
,,,,,,,
mandag,23.juni,Camp,,,,,
tirsdag,24.juni,,,,,,
onsdag,25.juni,,,,,,
torsdag,26.juni,,,,,,
fredag,27.juni,Hurtighet skate tur,01:00,,,Camp ferdig ,
lørdag,28.juni,Langtur sykkel,08:37,,,,
søndag,29.juni,Hvile,00:00,,,,"6,25t"
,,,,,,,
mandag,30.juni,Intervall roiing,01:30,Styrke,01:15,Husk at dagene før intervall må være rolige i intensitet (i1) og helst ikke alt for lange,
tirsdag,1.juli,Klassisk,01:30,,,,
onsdag,2.juli,Langtur sykkel,05:30,,,,
torsdag,3.juli,Hvile,00:00,,,"Prøv å hold mest mulig i i2, og ikke alt for mye i i3",
fredag,4.juli,Løp m/6 stigningsdrag (20sek),01:00,,,,
lørdag,5.juli,Intervall klassisk 5x8min i3/terskel,01:30,Styrke,01:15,"Denne må du åpne veldig kontrollert på, er en lang intervall, så her har man ikke råd til å åpne for hardt",
søndag,6.juli,teknikk skate + klassisk teknikk,02:30,,,Om du ønsker er det bare å sende over videoer for tilbakemelding på teknikk,"13,5t"
,,,,,,,
mandag,7.juli,Roing,01:15,,,,
tirsdag,8.juli,Intervall skate 8x3min i4,01:30,Styrke,01:15,"Ha grei kontroll på første 3-4 dragene, deretter kan man gasse på enda mer",
onsdag,9.juli,Langtur skate,02:30,,,Gjerne gå to perioder på 5min ila økten uten staver for å terpe teknikk,
torsdag,10.juli,Langtur landevei,03:15,,,,
fredag,11.juli,Hvile,00:00,,,,
lørdag,12.juli,Intervall 5x7min løp i3/terskel,01:30,Styrke,01:15,"Mange lange økter i det siste, så hold denne klink i i3, helst ikke noe i i4",
søndag,13.juli,Hurtighet klassisk,01:30,,,,14t
,,,,,,,
mandag,14.juli,Tung svømmeøkt,01:30,,,"Anbefaler deg å ikke ha så mye som 2t, viktig å gå inn til land innimellom for å få litt pauser",
tirsdag,15.juli,Langtur terrengsykkel,02:00,,,,
onsdag,16.juli,Klassisk,01:00,,,"Ikke lov å ta noe lenger enn 1t, blir en skikkelig har dag i morgen",
torsdag,17.juli,Hvile,00:00,,,"1min på, 1min av. Første dragene kan nok ikke være bånn gass for å skulle ha kvalitet på alle dragene",
fredag,18.juli,Intervall løp 20x1min (1min pause) i5,01:30,Styrke overkropp,00:45,,
lørdag,19.juli,Langtur,,,,"Husk å send melding om hvor du er, mtp motbakke i morgen",
søndag,20.juli,Rolig,,,,"Oppvarming 20-25min, Hoveddel stake opp en lang motbakke, Rolig 10min på slutten","9,75t"
,,,,,,,
mandag,21.juli,Svømming 1t + styrke1t,02:00,,,,
tirsdag,22.juli,Langtur terrengsykkel,02:15,,,,
onsdag,23.juli,Løp eller skate,01:00,,,Husk å hold intensiteten lav nok dagen før intervall,
torsdag,24.juli,Løp intervaller 6x5min i3,01:30,Styrke,01:00,"Holde kontroll på pulsen hele veien, prøv å unngå i4 og syre",
fredag,25.juli,Hvile,00:00,,,,
lørdag,26.juli,Klassisk hurtighet og teknikk økt,01:30,,,,
søndag,27.juli,Klassisk intervall 5x4min (45/15) i4,01:00,,,"Hold deg for det meste i i4, altså hold igjen på det aller siste giret","10,25t"
,,,,,,,
mandag,28.juli,Styrke 1t + stakemaskin 30min,01:30,,,,
tirsdag,29.juli,Langtur Landvei,03:30,,,,
onsdag,30.juli,Intervall 5x6min skate i3,01:30,Styrke,01:00,"Åpne ganske så rolig første to dragene, mulig du er ganske sliten etter dagen før",
torsdag,31.juli,Langtur Landevei,03:30,,,,
fredag,1.august,Terreng iTrysil,00:00,,,,
lørdag,2.august,Terreng i trysil,,,,"Viktig at disse to dagene ikke blir harde, det kommer til å bli masse trening på sommerskiskolen",
søndag,3.august,Terreng i trysil,,,,,13t
,,,,,,,
mandag,4.august,Trysil sommerskiskole,,,,,
tirsdag,5.august,,,,,,
