Dag,Dato,Hva økt 1,Tid,Hva økt 2,Tid,Kommentar/Viktig ved gjennomføring økt,Total timer
torsdag,1.mai,Fri fra skolen: skate,01:45,,,Gjerne gå noen minutter uten staver. Eks 2 perioder på 5min hvor du tar av stavene.,
fredag,2.mai,"Prestasjonsfremmende trening, lav/middels",01:15,,,,
lørdag,3.mai,Råskinnet/Råtassen,01:30,,,,
søndag,4.mai,Langtur sykkel: søndagsgruppa,02:15,,,,"6,75t"
,,,,,,,
mandag,5.mai,"Bassistrening ute, lav/middels",,Styrke m/Asker Sk,01:30,,
tirsdag,6.mai,"Tinesaffet og volleyball, middels",,Rolig løp,01:30,,
onsdag,7.mai,,,Valgfri: klassisk eller hvile,01:00,Viktig å holde rolig tempo dagene før intervall,
torsdag,8.mai,"Balanse og koordinasjon, lav/middels",,Intervall 5x6min i3/terskel løp,01:30,"Målet vårt er løpe jevne runder, så prøv å finn et tempo du kan holde på alle drag. Unngå å sprekke",
fredag,9.mai,"Basistrening ute, lav/middels",,Hvile,00:00,,
lørdag,10.mai,Forflyttningssamling dag 1,,,,Viktig at man holder sitt eget tempo (i1) da det er en lang dag og mye trening,
søndag,11.mai,Forflyttningssamling dag 2,,,,Viktig at man holder sitt eget tempo (i1) da det er en lang dag og mye trening,"14,5t + skole"
,,,,,,,
mandag,12.mai,"Basistrening ute, lav/middels",,Styrke m/Asker Sk,01:30,Vurder å kjøre hvile på kvelden,
tirsdag,13.mai,"mat og helse, lav/middels",,Hurtighet klassisk,01:30,,
onsdag,14.mai,"Idretsspesifik basis, lav/middels/høy",,Valgfri: skate eller hvile,01:00,Viktig at dagene før intervall går ekstra rolig,
torsdag,15.mai,"Dans, lav",,Intervall 5/6x4min i4 skate,01:30,"Prøve å ha litt progresjon i dragene, men skal ikke være full gass på slutten likevel",
fredag,16.mai,"Sammarbeid og fairplay, lav/middels",,Klassisk,01:00,Gjerne gå noen minutter uten staver. Eks 2 perioder på 5min hvor du tar av stavene.,
lørdag,17.mai,Hvile,00:00,,,,
søndag,18.mai,Intervall 5x7min i3 løp: søndagsgruppa,01:30,,,"Her skal man ha kontroll hele veien, altså ikke bygge opp noe syre i bena",8t + skole
,,,,,,,
mandag,19.mai,,,Styrke m/Asker Sk,01:30,,
tirsdag,20.mai,,,Teknikk skate,01:30,"Blir litt teori og øvelser man kan gjøre på egenhånd, sikkert litt ""kjeldelig"" økt, men lurt å følge godt med",
onsdag,21.mai,,,Hvile,00:00,,
torsdag,22.mai,,,Motbakkeløp,01:45,Lurt å holde et lite knepp igjen første 8min og deretter skru opp mot maks,
fredag,23.mai,Så rolig som mulig på skolen,,,,,
