Dag,Dato,Hva økt 1,Tid,Hva økt 2,Tid,Kommentar/Viktig ved gjennomføring økt,Total timer
torsdag,1.mai,Fri fra skolen: skate,01:45,,,Gjerne gå noen minutter uten staver. Eks 2 perioder på 5min hvor du tar av stavene.,
fredag,2.mai,Volleyball,01:15,Løp m/5 stigningsdrag,00:45,"Oppvarming 15-20min, deretter 5 stigningsdrag på ca 20 sek 2-3min pause mellom, jogg ned rolig siste 10min",
lørdag,3.mai,Råskinnet/Råtassen,01:30,,,,
søndag,4.mai,Langtur sykkel: søndagsgruppa,02:15,,,,"6,75t"
,,,,,,,
mandag,5.mai,Dynamisk mobilitet og rytme,,Styrke med Asker,01:30,,
tirsdag,6.mai,Tinesaffet og volleyball,,Rolig løp,01:30,,
onsdag,7.mai,,,Valgfri: klassisk,01:00,Viktig å holde rolig tempo dagene før intervall,
torsdag,8.mai,Balanse og koordinasjon,,Intervall 5x6min i3/terskel løp,01:30,"Målet vårt er løpe jevne runder, så prøv å finn et tempo du kan holde på alle drag. Unngå å sprekke",
fredag,9.mai,Basistrening ute,,Hvile,00:00,,
lørdag,10.mai,Forflyttningssamling dag 1,,,,Viktig at man holder sitt eget tempo (i1) da det er en lang dag og mye trening,
søndag,11.mai,Forflyttningssamling dag 2,,,,Viktig at man holder sitt eget tempo (i1) da det er en lang dag og mye trening,"14,5t + skole"
,,,,,,,
mandag,12.mai,Basistrening ute,,Styrke med Asker,01:30,,
tirsdag,13.mai,Basis i styrkerommet/mat og helse,,Hurtighet klassisk,01:30,,
onsdag,14.mai,Idretsspesifik basis,,Valgfri: skate,01:00,Viktig at dagene før intervall går ekstra rolig,
torsdag,15.mai,Dans,,Intervall 5/6x4min i4 skate,01:30,"Prøve å ha litt progresjon i dragene, men skal ikke være full gass på slutten likevel",
fredag,16.mai,Sammarbeid og fairplay,,,01:00,,
lørdag,17.mai,Hvile,00:00,,,,
søndag,18.mai,Intervall 5x7min i3 løp: søndagsgruppa,01:30,,,"Her skal man ha kontroll hele veien, altså ikke bygge opp noe syre i bena",8t + skole
,,,,,,,
mandag,19.mai,Balanse og koordinasjon,,Styrke med Asker,01:30,,
tirsdag,20.mai,,,Teknikk skate,01:30,"Blir litt teori og øvelser man kan gjøre på egenhånd, sikkert litt ""kjeldelig"" økt, men lurt å følge godt med",
onsdag,21.mai,,,Hvile,00:00,,
torsdag,22.mai,,,Motbakkeløp,01:45,Lurt å holde et lite knepp igjen første 8min og deretter skru opp mot maks,
fredag,23.mai,Så rolig som mulig på skolen,,,,,
lørdag,24.mai,Distanseøkt 5km skate,01:30,,,Vi går én full runde i rulleskiløypa i Kollen. Her kan man hente mye ved å få med farten over bakketoppene,
søndag,25.mai,Sprintøkt klassisk,02:00,,,"Prolog + kvartfinaler, semifinaler og finaler med opprykk og nedrykk. Blir dermed fire drag/runder totalt","8,25t + skole"
,,,,,,,
mandag,26.mai,Mobilitet og rytme,,Styrke med Asker,01:30,,
tirsdag,27.mai,Volleyball,,Felthurtighet skate,01:30,,
onsdag,28.mai,Idrettsspesifikk basis,,Intervall 5x6min i3/terskel klassisk,01:30,Kontrollert. Ikke noe syre mot slutten. Se gjerne litt ekstra på klokken for å holde deg i sone 3 hele veien,
torsdag,29.mai,Klassisk,01:45,,,,
fredag,30.mai,Hvile,00:00,,,,
lørdag,31.mai,Intervall 3-4-5-4-3min i4 skate,01:15,,,"Holde igjen siste giret, selv på 3- og 4-minutterne. Lov å få litt syre, men skal ikke være helt kjørt på slutten",
søndag,1.juni,Langtur: søndagsgruppa,02:15,,,"Viktig å huske at de rolige turene MÅ gå rolig, spessielt når de er lange. Sone 1/i1 er tingen :-)",8t + skole
,,,,,,,
mandag,2.juni,Samarbeid og Fairplay,,Styrke med Asker,01:30,,
tirsdag,3.juni,Innebandy,,Intervall 4/5x5min i4 klassisk,01:30,Se an om du ønsker 4 eller 5 drag. Tenker i utgangspunktet at 4 holder. ,
onsdag,4.juni,Utedag,,Hvile,00:00,,
torsdag,5.juni,Ball og lagaktivitet,,Teknikk klassisk,01:30,"Blir litt teori og øvelser man kan gjøre på egenhånd, sikkert litt ""kjeldelig"" økt, men lurt å følge godt med",
fredag,6.juni,Amazing race,,Hurtighet klassisk,01:30,,
lørdag,7.juni,Intervall 5/6x6min i3/terskel skate,01:30,"Lek, stafetter og styrke",01:30,,
søndag,8.juni,Langtur løp,03:00,Rolig skate,01:15,,12t + skole
,,,,,,,
mandag,9.juni,Langtur klassisk,02:30,,,,
tirsdag,10.juni,Volleyball,,Hvile,00:00,,
onsdag,11.juni,Idrettsspesifikk basis,,Klassisk,01:00,Viktig å holde rolig tempo dagene før intervall,
torsdag,12.juni,Fjorda,,Intervall 5x7min i3/terskel skate,01:30,"Nok en intervall vi skal ha hvor kontroll er fokus, skal kunne gå samme tempo på alle drag eller progressivt",
fredag,13.juni,Fjorda,,Styrke,01:15,,
lørdag,14.juni,Hvile,00:00,,,,
søndag,15.juni,Intervall 5x4min i4 løp: søndagsgruppa,01:15,,,"Lov å ta i litt ekstra i dag, men skal ikke ligge i grøfta etter siste draget likevel","6,5t + skole"
,,,,,,,
mandag,16.juni,Basistrening,,Valgfri: skate eller hvile,01:30,,
tirsdag,17.juni,Balanse og koordinasjon,,Hurtighet løp,01:30,,
onsdag,18.juni,Fysisk monopol,,TG5 skate,01:30,,
torsdag,19.juni,Ball og lagaktivitet,,Intervall 3x6min + 3x4min i3 + i4 løp,01:30,Kontrollert første 3 dragene og skru opp farten mer på siste 3,
fredag,20.juni,Siste skoledag - fotballturnering,,Styrke,01:15,,
lørdag,21.juni,Hvile,00:00,,,,
søndag,22.juni,Intervall 5x6min i3/terskel klassisk,01:30,,,"Ha kontroll hele veien, er kroppen bra og du treffer godt med åpningsfarten kan man vurdere et drag nr 6","8,5t + skole"
,,,,,,,
mandag,23.juni,Styrke,01:15,,,,
tirsdag,24.juni,Hvile,,,,,
