Dag,Dato,Hva økt 1,Tid,Kommentar/Viktig ved gjennomføring økt,Total timer
mandag,5.mai,Løp,01:00,,
tirsdag,6.mai,Hvile,00:00,,
onsdag,7.mai,Klassisk,01:15,"Holde dagene for intervall rolig, så man har overskudd til selve intervallen",
torsdag,8.mai,Intervall 5x6min i3/terskel løp,01:30,"Målet vårt er løpe jevne runder, så prøv å finn et tempo du kan holde på alle drag. Unngå å sprekke",
fredag,9.mai,Styrke,01:15,Gjerne benytt styrke programmet som er delt i spond fromover,
lørdag,10.mai,Forflyttningssamling dag 1,05:00,Viktig at man holder sitt eget tempo (i1) da det er en lang dag og mye trening,
søndag,11.mai,Hvile,00:00,,10t
,,,,,
mandag,12.mai,Styrke,01:15,,
tirsdag,13.mai,Hvile,00:00,,
onsdag,14.mai,Klassisk,01:15,,
torsdag,15.mai,Intervall 5/6x4min i4 skate,01:30,"Prøve å ha litt progresjon i dragene, men skal ikke være full gass på slutten likevel",
fredag,16.mai,Skate hurtighet,01:30,Kjør 6-9 hurtighetsdrag (ca 12 sek) i løpet av økten. Viktig med litt pause mellom hvert drag.,
lørdag,17.mai,Hvile,00:00,,
søndag,18.mai,Intervall 5x7min i3 løp: søndagsgruppa,01:30,"Her skal man ha kontroll hele veien, altså ikke bygge opp noe syre i bena",7t
,,,,,
mandag,19.mai,Skate eller sykkel,01:30,,
tirsdag,20.mai,Hvile,00:00,,
onsdag,21.mai,Konkurranseforberedende klassisk,01:15,"Skal være en veldig rolig økt, utenom de 4-5 stigningsdragene på ca 20 sek. Jevnt tempo fra rolig til spurt",
torsdag,22.mai,Motbakkeløp,01:45,Lurt å holde et lite knepp igjen første 8min og deretter skru opp mot maks,
fredag,23.mai,Klassisk eller hvile,01:00,Hvis gymmen er litt anstrengende trenger du ikke noe økt etter skolen,
lørdag,24.mai,Distanseøkt 5km skate,01:30,Vi går én full runde i rulleskiløypa i Kollen. Her kan man hente mye ved å få med farten over bakketoppene,
søndag,25.mai,Sprintøkt klassisk,02:00,"Prolog + kvartfinaler, semifinaler og finaler med opprykk og nedrykk. Blir dermed fire drag/runder totalt",9t
,,,,,
mandag,26.mai,Styrke,01:15,,
tirsdag,27.mai,PÅ TUR MED KORGRUPPA,,,
onsdag,28.mai,,,,
torsdag,29.mai,,,,
fredag,30.mai,,,,
lørdag,31.mai,,,,
søndag,1.juni,,,,"1,25t"
,,,,,
mandag,2.juni,Intervall 5x6min løp i3/terskel,01:30,"Ha god kontroll i dag, blir en samling med mye trening i helgen, så ikke kjøre seg i senk her.",
tirsdag,3.juni,Hvile,00:00,,
onsdag,4.juni,Styrke,01:15,,
torsdag,5.juni,Teknikk klassisk,01:30,"Blir litt teori og øvelser man kan gjøre på egenhånd, sikkert litt ""kjeldelig"" økt, men lurt å følge godt med",
fredag,6.juni,,,,
lørdag,7.juni,Intervall 5/6x6min i3/terskel skate,01:30,"Unngå å gå på seg alt for mye syre, litt er lov :-)",
søndag,8.juni,Langtur løp,03:00,Rolig tempo på langturene,12t
,,,,,
mandag,9.juni,Langtur klassisk,02:30,,
tirsdag,10.juni,Hvile,00:00,,
onsdag,11.juni,Klassisk hurtighet,01:15,Kjør 6-9 hurtighetsdrag (ca 12 sek) i løpet av økten. Viktig med litt pause mellom hvert drag.,
torsdag,12.juni,Intervall 5x7min i3/terskel skate,01:30,"Nok en intervall vi skal ha hvor kontroll er fokus, skal kunne gå samme tempo på alle drag eller progressivt",
fredag,13.juni,Styrke,01:15,,
lørdag,14.juni,Langtur skate,02:00,Gjerne gå noen minutter uten staver. Eks 2 perioder på 5min hvor du tar av stavene.,
søndag,15.juni,Intervall 5x4min i4 løp: søndagsgruppa,01:15,"Lov å ta i litt ekstra i dag, men skal ikke ligge i grøfta etter siste draget likevel",11t
,,,,,
Dag,Dato,Hva økt 1,Tid,Hva økt 2,Tid
mandag,16.juni,Hurtighet skate,01:30,Kommentar/Viktig ved gjennomføring økt,Total timer
tirsdag,17.juni,Hvile,00:00,,
onsdag,18.juni,TG5 Skate,01:30,,
torsdag,19.juni,Intervall 3x6min + 3x4min i3 + i4 løp,01:30,,
fredag,20.juni,Hvile,00:00,Kontrollert første 3 dragene og skru opp farten mer på siste 3,
lørdag,21.juni,Hvile,00:00,,
søndag,22.juni,Intervall 5/6x6min i3/terskel klassisk,01:30,,
,,,,"Ha kontroll hele veien, er kroppen bra og du treffer godt med åpningsfarten kan man vurdere et drag nr 6",6t
mandag,23.juni,Langtur sykkel,02:30,,
tirsdag,24.juni,Valgfri: Klassisk eller hvile,01:15,Holde pulsen lav/i1 på rolige turer og langturer,
onsdag,25.juni,Intervall skate 4/5x5min i4,01:15,"Dagene før intervall skal helst være korte, for å sikre kvalitet på hardøktene. Ikke økt lengden noe serlig.",
torsdag,26.juni,Langtur løp,03:00,"Skal kunne gå relativt fort, men hold igjen på det aller siste giret. Viktig å klare disponering på i4-intervaller også",
fredag,27.juni,Hurtighet skate,01:30,"Gjerne løp mest i terrenget, for å ha det mest mulig skånsomt for bena",
lørdag,28.juni,Intervall klassisk 5x7min i3/terskel,01:30,3 serier av 3 drag (9stk totalt). Prøv å varier terreng/stilart for hver serie.,
søndag,29.juni,Hvile,00:00,,
,,,,,"13,5t"
mandag,30.juni,Sykkel,01:30,,
tirsdag,1.juli,Intervall løp 3-4-5-4-3min i4,01:15,,
onsdag,2.juli,Langtur skate,02:30,"Hold samme tempo/puls på alle drag, selv på 3-minutterne",
torsdag,3.juli,Valgfri: Klassisk eller hvile,01:15,Gjerne gå to perioder på 5min uten staver i løpet av økta,
fredag,4.juli,Intervall skate 4x8min i3/terskel,01:30,,
lørdag,5.juli,Hvile,00:00,"Heller åpne første to dragene for rolig, enn for hardt. Veldig lange drag, så denne MÅ være kontrollert",
søndag,6.juli,Hurtighet løp,01:30,,
,,,,"Helst flatt eller oppover, unngå hurtighet i nedover på løping",12t
mandag,7.juli,Intervall klassisk 5x4min i4,01:15,,
tirsdag,8.juli,Langtur klassisk,02:30,"Tre intervaller denne uken, så viktig at man er god på å styre intensiteten riktig på alle de tre øktene",
onsdag,9.juli,Valgfri: Skate eller hvile,01:30,Gjerne gå to perioder på 5min uten staver i løpet av økta,
torsdag,10.juli,Intervall løp 5x6min i3/terskel,01:30,,
fredag,11.juli,Hvile,00:00,"Du kan se an kroppen på oppvarming her, om du er klar for intervall, eller om rolig tur er best.",
lørdag,12.juli,Hurtighet klassisk,01:15,,
søndag,13.juli,Intervall skate 4/5x5min i4,01:15,,
,,,,"Klink i4, ikke noe over. Du skal få muligheten til å gå litt hardere kommende onsdag","11,75t"
mandag,14.juli,Langtur sykkel,02:00,,
tirsdag,15.juli,Valgfri: Skate eller hvile,01:15,,
onsdag,16.juli,Intervall løp 5-5-4-4-3-3min i4,01:15,,
torsdag,17.juli,Langtur skate,02:30,"Ta de første fire dragene i i4, siste 3-minutterne kan man skru opp tempoet til i5 om man ønsker",
fredag,18.juli,Hurtighet klassisk,01:30,Rolig tempo,
lørdag,19.juli,Intervall klassisk 5x7min i3/terskel,01:30,,
søndag,20.juli,Hvile,00:00,"Holde kontroll, ikke la seg friste av å gå for fort",
,,,,,"12,5t"
,,,,,
mandag,21.juli,Sykkel,01:30,,
tirsdag,22.juli,Intervall løp 5/6x4min i4,01:15,Ta å se an dagsform og åpningsfart om du skal ta 5 eller 6 drag,
onsdag,23.juli,Valgfri: løp eller hvile,01:00,,
torsdag,24.juli,Sykkel,01:15,Husk å hold dagene før intervall rolig nok,
fredag,25.juli,Intervall løp 6-7-8-7-6min i3/terskel,01:30,"Prøv å holde jevn fart på alle drag, unngå syra.",
lørdag,26.juli,Styrke,01:15,,
søndag,27.juli,Hvile,00:00,,"7,75t"
,,,,,
mandag,28.juli,Intervall klassisk 4/5x5min i4,01:15,Husk å hold igjen det aller siste giret. Skal likevel gå fort :-),
tirsdag,29.juli,Styrke,01:15,,
onsdag,30.juli,Løp,01:30,,
torsdag,31.juli,Valgfri: styrke eller hvile,01:00,Prioriter overkropp og spar ben til imorgen,
fredag,1.august,Intervall løp 5x6min i3/terskel,01:30,Ha kontroll hele veien,
