Dag,Dato,Hva økt 1,Tid,Hva økt 2,Tid,Kommentar/Viktig ved gjennomføring økt,Total timer
torsdag,1.mai,Fotball kamp,01:15,,,"Klassisk 01:15, hvis kan blir avlyst",
fredag,2.mai,Fotball trening,01:30,,,,
lørdag,3.mai,Råskinnet/Råtassen,01:30,,,,
søndag,4.mai,Langtur sykkel: søndagsgruppa,02:15,,,,"6,5t"
,,,,,,,
mandag,5.mai,Styrke m/Asker Sk,01:30,,,,
tirsdag,6.mai,Rolig løp,01:30,,,,
onsdag,7.mai,Fotballtrening,01:30,,,,
torsdag,8.mai,Intervall 5x6min i3/terskel løp,01:30,,,"Målet vårt er løpe jevne runder, så prøv å finn et tempo du kan holde på alle drag. Unngå å sprekke",
fredag,9.mai,Hvile,00:00,,,,
lørdag,10.mai,Forflyttningssamling dag 1,, ,,Viktig at man holder sitt eget tempo (i1) da det er en lang dag og mye trening,
søndag,11.mai,Forflyttningssamling dag 2,, ,,Viktig at man holder sitt eget tempo (i1) da det er en lang dag og mye trening,15t
,,,,,,,
mandag,12.mai,Styrke m/Asker Sk,01:30,,,,
tirsdag,13.mai,Hurtighet klassisk,01:30,,,,
onsdag,14.mai,Fotballtrening,01:30,,,,
torsdag,15.mai,Intervall 5/6x4min i4 skate,01:30,,,"Prøve å ha litt progresjon i dragene, men skal ikke være full gass på slutten likevel",
fredag,16.mai,Fotballtrening,01:30,,,,
lørdag,17.mai,Hvile,00:00,,,,
søndag,18.mai,"Intervall 5x7min
i3 løp: søndagsgruppa",01:30,,,"Her skal man ha kontroll hele veien, altså ikke bygge opp noe syre i bena",9t
,,,,,,,
mandag,19.mai,Styrke m/Asker Sk,01:30,,,,
tirsdag,20.mai,Teknikk skate,01:30,,,"Blir litt teori og øvelser man kan gjøre på egenhånd, sikkert litt kjeldelig økt, men lurt å følge godt med",
onsdag,21.mai,Fotballtrening,01:30,,,,
torsdag,22.mai,Motbakkeløp,01:45,,,Lurt å holde et lite knepp igjen første 8min og deretter skru opp mot maks,
fredag,23.mai,Hvile,00:00,,,Fotballtrening utgår,
lørdag,24.mai,Distanseøkt 5km skate,01:30,,,Vi går én full runde i rulleskiløypa i Kollen. Her kan man hente mye ved å få med farten over bakketoppene,
